backup_relative_path,classification,segment_count,squarespace_full_url,og_title,continent_segment,suggested_country_slug,suggested_place_slug,final_continent_slug,final_country_slug,final_place_slug,notes
africa/category/Kenya.html,category,3,/africa,Kenya — Explore Africa — A Tog's Trek,africa,,,,,,
africa/category/Morocco.html,category,3,/africa,Morocco — Explore Africa — A Tog's Trek,africa,,,,,,
africa/category/Nigeria.html,category,3,/africa,Nigeria — Explore Africa — A Tog's Trek,africa,,,,,,
africa/category/Tanzania.html,category,3,/africa,Tanzania — Explore Africa — A Tog's Trek,africa,,,,,,
africa/category/Tunisia.html,category,3,/africa,Tunisia — Explore Africa — A Tog's Trek,africa,,,,,,
africa/category/Uganda.html,category,3,/africa,Uganda — Explore Africa — A Tog's Trek,africa,,,,,,
africa/egypt/aswan.html,continent_place_candidate,3,/africa,Aswan — A Tog's Trek,africa,egypt,aswan,,,,
africa/egypt/edfu.html,continent_place_candidate,3,/africa,Edfu — A Tog's Trek,africa,egypt,edfu,,,,
africa/egypt/luxor.html,continent_place_candidate,3,/africa,Luxor — A Tog's Trek,africa,egypt,luxor,,,,
africa/ghana/accra.html,continent_place_candidate,3,/africa,Accra — A Tog's Trek,africa,ghana,accra,,,,
africa/kenya/eldoret.html,continent_place_candidate,3,/africa,Eldoret — A Tog's Trek,africa,kenya,eldoret,,,,
africa/kenya/nairobi.html,continent_place_candidate,3,/africa,Nairobi — A Tog's Trek,africa,kenya,nairobi,,,,
africa/kenya/nakuru.html,continent_place_candidate,3,/africa,Nakuru — A Tog's Trek,africa,kenya,nakuru,,,,
africa/morocco/agadir.html,continent_place_candidate,3,/africa,Agadir — A Tog's Trek,africa,morocco,agadir,,,,
africa/morocco/casablanca.html,continent_place_candidate,3,/africa,Casablanca — A Tog's Trek,africa,morocco,casablanca,,,,
africa/morocco/marrakech.html,continent_place_candidate,3,/africa,Marrakech — A Tog's Trek,africa,morocco,marrakech,,,,
africa/morocco/rabat.html,continent_place_candidate,3,/africa,Rabat — A Tog's Trek,africa,morocco,rabat,,,,
africa/nigeria/apapa.html,continent_place_candidate,3,/africa,Apapa — A Tog's Trek,africa,nigeria,apapa,,,,
africa/tag/Accra.html,tag,3,/africa,Accra — Explore Africa — A Tog's Trek,africa,,,,,,
africa/tag/Agadir.html,tag,3,/africa,Agadir — Explore Africa — A Tog's Trek,africa,,,,,,
africa/tag/Apapa.html,tag,3,/africa,Apapa — Explore Africa — A Tog's Trek,africa,,,,,,
africa/tag/Aswan.html,tag,3,/africa,Aswan — Explore Africa — A Tog's Trek,africa,,,,,,
africa/tag/Barranco+Wall.html,tag,3,/africa,Barranco Wall — Explore Africa — A Tog's Trek,africa,,,,,,
africa/tag/Bwindi+Impenetrable+Forest.html,tag,3,/africa,Bwindi Impenetrable Forest — Explore Africa — A Tog's Trek,africa,,,,,,
africa/tag/Casablanca.html,tag,3,/africa,Casablanca — Explore Africa — A Tog's Trek,africa,,,,,,
africa/tag/Cotonou.html,tag,3,/africa,Cotonou — Explore Africa — A Tog's Trek,africa,,,,,,
africa/tag/Douala.html,tag,3,/africa,Douala — Explore Africa — A Tog's Trek,africa,,,,,,
africa/tag/Edfu.html,tag,3,/africa,Edfu — Explore Africa — A Tog's Trek,africa,,,,,,
africa/tag/Eldoret.html,tag,3,/africa,Eldoret — Explore Africa — A Tog's Trek,africa,,,,,,
africa/tag/Jinja.html,tag,3,/africa,Jinja — Explore Africa — A Tog's Trek,africa,,,,,,
africa/tag/Kampala.html,tag,3,/africa,Kampala — Explore Africa — A Tog's Trek,africa,,,,,,
africa/tag/Kasese.html,tag,3,/africa,Kasese — Explore Africa — A Tog's Trek,africa,,,,,,
africa/tag/Kendwa+Rocks+Hotel+&+Spa.html,tag,3,/africa,Kendwa Rocks Hotel & Spa — Explore Africa — A Tog's Trek,africa,,,,,,
africa/tag/Kendwa+Rocks.html,tag,3,/africa,Kendwa Rocks — Explore Africa — A Tog's Trek,africa,,,,,,
africa/tag/Kendwa.html,tag,3,/africa,Kendwa — Explore Africa — A Tog's Trek,africa,,,,,,
africa/tag/Kilimanjaro.html,tag,3,/africa,Kilimanjaro — Explore Africa — A Tog's Trek,africa,,,,,,
africa/tag/Lagos.html,tag,3,/africa,Lagos — Explore Africa — A Tog's Trek,africa,,,,,,
africa/tag/Lake+Bunyoni.html,tag,3,/africa,Lake Bunyoni — Explore Africa — A Tog's Trek,africa,,,,,,
africa/tag/Lake+Manyara.html,tag,3,/africa,Lake Manyara — Explore Africa — A Tog's Trek,africa,,,,,,
africa/tag/Lake+Mburo.html,tag,3,/africa,Lake Mburo — Explore Africa — A Tog's Trek,africa,,,,,,
africa/tag/Lake+Nakuru+National+Park.html,tag,3,/africa,Lake Nakuru National Park — Explore Africa — A Tog's Trek,africa,,,,,,
africa/tag/Luxor.html,tag,3,/africa,Luxor — Explore Africa — A Tog's Trek,africa,,,,,,
africa/tag/Machame+Route.html,tag,3,/africa,Machame Route — Explore Africa — A Tog's Trek,africa,,,,,,
africa/tag/Machame.html,tag,3,/africa,Machame — Explore Africa — A Tog's Trek,africa,,,,,,
africa/tag/Malaika+Tattoo+Zanzibar.html,tag,3,/africa,Malaika Tattoo Zanzibar — Explore Africa — A Tog's Trek,africa,,,,,,
africa/tag/Marrakech.html,tag,3,/africa,Marrakech — Explore Africa — A Tog's Trek,africa,,,,,,
africa/tag/Moshi+Mamas.html,tag,3,/africa,Moshi Mamas — Explore Africa — A Tog's Trek,africa,,,,,,
africa/tag/Moshi.html,tag,3,/africa,Moshi — Explore Africa — A Tog's Trek,africa,,,,,,
africa/tag/Mt+Kilimanjaro.html,tag,3,/africa,Mt Kilimanjaro — Explore Africa — A Tog's Trek,africa,,,,,,
africa/tag/Nairobi.html,tag,3,/africa,Nairobi — Explore Africa — A Tog's Trek,africa,,,,,,
africa/tag/Nakuru.html,tag,3,/africa,Nakuru — Explore Africa — A Tog's Trek,africa,,,,,,
africa/tag/National+Park.html,tag,3,/africa,National Park — Explore Africa — A Tog's Trek,africa,,,,,,
africa/tag/Ngorongoro+Crater.html,tag,3,/africa,Ngorongoro Crater — Explore Africa — A Tog's Trek,africa,,,,,,
africa/tag/Nile.html,tag,3,/africa,Nile — Explore Africa — A Tog's Trek,africa,,,,,,
africa/tag/Nubian.html,tag,3,/africa,Nubian — Explore Africa — A Tog's Trek,africa,,,,,,
africa/tag/Queen+Elizabeth+National+Park.html,tag,3,/africa,Queen Elizabeth National Park — Explore Africa — A Tog's Trek,africa,,,,,,
africa/tag/Rabat.html,tag,3,/africa,Rabat — Explore Africa — A Tog's Trek,africa,,,,,,
africa/tag/Rhino.html,tag,3,/africa,Rhino — Explore Africa — A Tog's Trek,africa,,,,,,
africa/tag/Ruins.html,tag,3,/africa,Ruins — Explore Africa — A Tog's Trek,africa,,,,,,
africa/tag/Safari.html,tag,3,/africa,Safari — Explore Africa — A Tog's Trek,africa,,,,,,
africa/tag/Souk.html,tag,3,/africa,Souk — Explore Africa — A Tog's Trek,africa,,,,,,
africa/tag/Stella+Maris+Executive+Lodge.html,tag,3,/africa,Stella Maris Executive Lodge — Explore Africa — A Tog's Trek,africa,,,,,,
africa/tag/Stella+Maris.html,tag,3,/africa,Stella Maris — Explore Africa — A Tog's Trek,africa,,,,,,
africa/tag/Stone+Town.html,tag,3,/africa,Stone Town — Explore Africa — A Tog's Trek,africa,,,,,,
africa/tag/TT+Casablanca.html,tag,3,/africa,TT Casablanca — Explore Africa — A Tog's Trek,africa,,,,,,
africa/tag/TT+Gorillas.html,tag,3,/africa,TT Gorillas — Explore Africa — A Tog's Trek,africa,,,,,,
africa/tag/TT+Marrakech.html,tag,3,/africa,TT Marrakech — Explore Africa — A Tog's Trek,africa,,,,,,
africa/tag/TT+Roof+of+Africa.html,tag,3,/africa,TT Roof of Africa — Explore Africa — A Tog's Trek,africa,,,,,,
africa/tag/Temple+of+Horus.html,tag,3,/africa,Temple of Horus — Explore Africa — A Tog's Trek,africa,,,,,,
africa/tag/Tunis.html,tag,3,/africa,Tunis — Explore Africa — A Tog's Trek,africa,,,,,,
africa/tag/Whiskey+Route.html,tag,3,/africa,Whiskey Route — Explore Africa — A Tog's Trek,africa,,,,,,
africa/tag/Whisky+Route.html,tag,3,/africa,Whisky Route — Explore Africa — A Tog's Trek,africa,,,,,,
africa/tag/White+Water+Rafting.html,tag,3,/africa,White Water Rafting — Explore Africa — A Tog's Trek,africa,,,,,,
africa/tag/Zanzibar.html,tag,3,/africa,Zanzibar — Explore Africa — A Tog's Trek,africa,,,,,,
africa/tanzania/arusha.html,continent_place_candidate,3,/africa,Arusha — A Tog's Trek,africa,tanzania,arusha,,,,
africa/tanzania/kendwa.html,continent_place_candidate,3,/africa,"Kendwa Beach, Zanzibar — A Tog's Trek",africa,tanzania,kendwa,,,,
africa/tanzania/lake-manyara.html,continent_place_candidate,3,/africa,Lake Manayara — A Tog's Trek,africa,tanzania,lake-manyara,,,,
africa/tanzania/moshi.html,continent_place_candidate,3,/africa,Moshi - Gateway to Kilimanjaro — A Tog's Trek,africa,tanzania,moshi,,,,
africa/tanzania/mt-kilimanjaro.html,continent_place_candidate,3,/africa,Hiking the Machame Route to Kilimanjaro's summit — A Tog's Trek,africa,tanzania,mt-kilimanjaro,,,,
africa/tanzania/mto-wa-mbu.html,continent_place_candidate,3,/africa,Mto Wa Mbu — A Tog's Trek,africa,tanzania,mto-wa-mbu,,,,
africa/tanzania/ngorongoro-crater.html,continent_place_candidate,3,/africa,Ngorongoro Crater — A Tog's Trek,africa,tanzania,ngorongoro-crater,,,,
africa/tanzania/serengeti-national-park.html,continent_place_candidate,3,/africa,Safaris in the Serengeti National Park — A Tog's Trek,africa,tanzania,serengeti-national-park,,,,
africa/tanzania/zanzibar/stone-town.html,continent_place_candidate,4,/africa,Stone Town — A Tog's Trek,africa,tanzania,stone-town,,,,
africa/tunisia/tunis.html,continent_place_candidate,3,/africa,Tunis — A Tog's Trek,africa,tunisia,tunis,,,,
africa/uganda/bwindi-impenetrable-forest-national-park.html,continent_place_candidate,3,/africa,Bwindi Impenetrable Forest — A Tog's Trek,africa,uganda,bwindi-impenetrable-forest-national-park,,,,
africa/uganda/jinja.html,continent_place_candidate,3,/africa,Jinja — A Tog's Trek,africa,uganda,jinja,,,,
africa/uganda/kampala.html,continent_place_candidate,3,/africa,Kampala — A Tog's Trek,africa,uganda,kampala,,,,
africa/uganda/kasese.html,continent_place_candidate,3,/africa,Kasese — A Tog's Trek,africa,uganda,kasese,,,,
africa/uganda/lake-bunyoni.html,continent_place_candidate,3,/africa,Lake Bunyoni — A Tog's Trek,africa,uganda,lake-bunyoni,,,,
africa/uganda/lake-mburo.html,continent_place_candidate,3,/africa,Lake Mburo — A Tog's Trek,africa,uganda,lake-mburo,,,,
africa.html,root_misc,1,/africa,Explore Africa — A Tog's Trek,africa,,,,,,
africa63da.html,root_misc,1,/africa,Explore Africa — A Tog's Trek,,,,,,,
africabbd3.html,root_misc,1,/africa,Explore Africa — A Tog's Trek,,,,,,,
africac522.html,root_misc,1,/africa,Explore Africa — A Tog's Trek,,,,,,,
africaf1a5.html,root_misc,1,/africa,Explore Africa — A Tog's Trek,,,,,,,
africafb9c.html,root_misc,1,/africa,Explore Africa — A Tog's Trek,,,,,,,
annapurna.html,root_misc,1,/annapurna,Annapurna | Explore Annapurna's Beauty — A Tog's Trek,,,,,,,
antarctica/category/Fish+Islands.html,category,3,/antarctica,Fish Islands — Exploring Antarctica — A Tog's Trek,antarctica,,,,,,
antarctica/category/Fournier+Bay.html,category,3,/antarctica,Fournier Bay — Exploring Antarctica — A Tog's Trek,antarctica,,,,,,
antarctica/category/Jenny+Island.html,category,3,/antarctica,Jenny Island — Exploring Antarctica — A Tog's Trek,antarctica,,,,,,
antarctica/category/Lamaire+Channel.html,category,3,/antarctica,Lamaire Channel — Exploring Antarctica — A Tog's Trek,antarctica,,,,,,
antarctica/category/Neko+Harbour.html,category,3,/antarctica,Neko Harbour — Exploring Antarctica — A Tog's Trek,antarctica,,,,,,
antarctica/category/Paradise+Harbour.html,category,3,/antarctica,Paradise Harbour — Exploring Antarctica — A Tog's Trek,antarctica,,,,,,
antarctica/category/Petermann+Island.html,category,3,/antarctica,Petermann Island — Exploring Antarctica — A Tog's Trek,antarctica,,,,,,
antarctica/category/Port+Charcot.html,category,3,/antarctica,Port Charcot — Exploring Antarctica — A Tog's Trek,antarctica,,,,,,
antarctica/category/Pourquoi+Pas+Island.html,category,3,/antarctica,Pourquoi Pas Island — Exploring Antarctica — A Tog's Trek,antarctica,,,,,,
antarctica/category/Southern+Ocean.html,category,3,/antarctica,Southern Ocean — Exploring Antarctica — A Tog's Trek,antarctica,,,,,,
antarctica/category/Stonnington+Island.html,category,3,/antarctica,Stonnington Island — Exploring Antarctica — A Tog's Trek,antarctica,,,,,,
antarctica/category/The+Gullet.html,category,3,/antarctica,The Gullet — Exploring Antarctica — A Tog's Trek,antarctica,,,,,,
antarctica/category/Yalour+Islands.html,category,3,/antarctica,Yalour Islands — Exploring Antarctica — A Tog's Trek,antarctica,,,,,,
antarctica/drake-passage.html,continent_place_candidate,2,/antarctica,Drake Passage — A Tog's Trek,antarctica,,drake-passage,,,,
antarctica/fish-islands.html,continent_place_candidate,2,/antarctica,Fish Islands — A Tog's Trek,antarctica,,fish-islands,,,,
antarctica/fournier-bay.html,continent_place_candidate,2,/antarctica,Fournier Bay — A Tog's Trek,antarctica,,fournier-bay,,,,
antarctica/jenny-island.html,continent_place_candidate,2,/antarctica,Jenny Island — A Tog's Trek,antarctica,,jenny-island,,,,
antarctica/lamaire-channel.html,continent_place_candidate,2,/antarctica,Lamaire Channel — A Tog's Trek,antarctica,,lamaire-channel,,,,
antarctica/neko-harbour.html,continent_place_candidate,2,/antarctica,Neko Harbour — A Tog's Trek,antarctica,,neko-harbour,,,,
antarctica/paradise-harbour.html,continent_place_candidate,2,/antarctica,Paradise Harbour — A Tog's Trek,antarctica,,paradise-harbour,,,,
antarctica/petermannisland.html,continent_place_candidate,2,/antarctica,Petermann Island — A Tog's Trek,antarctica,,petermannisland,,,,
antarctica/port-charcot.html,continent_place_candidate,2,/antarctica,Port Charcot — A Tog's Trek,antarctica,,port-charcot,,,,
antarctica/pourquoi-pas-island.html,continent_place_candidate,2,/antarctica,Pourquoi Pas Island — A Tog's Trek,antarctica,,pourquoi-pas-island,,,,
antarctica/south-of-the-circle.html,continent_place_candidate,2,/antarctica,South of the Circle — A Tog's Trek,antarctica,,south-of-the-circle,,,,
antarctica/southern-ocean.html,continent_place_candidate,2,/antarctica,Southern Ocean — A Tog's Trek,antarctica,,southern-ocean,,,,
antarctica/stonnington-island.html,continent_place_candidate,2,/antarctica,Stonnington Island — A Tog's Trek,antarctica,,stonnington-island,,,,
antarctica/tag/Antarctica.html,tag,3,,A Tog's Trek,antarctica,,,,,,
antarctica/tag/Base+Brown.html,tag,3,/antarctica,Base Brown — Exploring Antarctica — A Tog's Trek,antarctica,,,,,,
antarctica/tag/Base+E.html,tag,3,/antarctica,Base E — Exploring Antarctica — A Tog's Trek,antarctica,,,,,,
antarctica/tag/Booth+Island.html,tag,3,/antarctica,Booth Island — Exploring Antarctica — A Tog's Trek,antarctica,,,,,,
antarctica/tag/East+Base.html,tag,3,/antarctica,East Base — Exploring Antarctica — A Tog's Trek,antarctica,,,,,,
antarctica/tag/Fish+Island.html,tag,3,/antarctica,Fish Island — Exploring Antarctica — A Tog's Trek,antarctica,,,,,,
antarctica/tag/Fournier+Bay.html,tag,3,/antarctica,Fournier Bay — Exploring Antarctica — A Tog's Trek,antarctica,,,,,,
antarctica/tag/Humpback+Whale.html,tag,3,/antarctica,Humpback Whale — Exploring Antarctica — A Tog's Trek,antarctica,,,,,,
antarctica/tag/Jenny+Island.html,tag,3,/antarctica,Jenny Island — Exploring Antarctica — A Tog's Trek,antarctica,,,,,,
antarctica/tag/Lamaire+Channel.html,tag,3,/antarctica,Lamaire Channel — Exploring Antarctica — A Tog's Trek,antarctica,,,,,,
antarctica/tag/Leopard+Seal.html,tag,3,/antarctica,Leopard Seal — Exploring Antarctica — A Tog's Trek,antarctica,,,,,,
antarctica/tag/Neko+Harbour.html,tag,3,/antarctica,Neko Harbour — Exploring Antarctica — A Tog's Trek,antarctica,,,,,,
antarctica/tag/Paradise+Harbour.html,tag,3,/antarctica,Paradise Harbour — Exploring Antarctica — A Tog's Trek,antarctica,,,,,,
antarctica/tag/Penguin.html,tag,3,/antarctica,Penguin — Exploring Antarctica — A Tog's Trek,antarctica,,,,,,
antarctica/tag/Port+Charcot.html,tag,3,/antarctica,Port Charcot — Exploring Antarctica — A Tog's Trek,antarctica,,,,,,
antarctica/tag/Pourquoi+Pas+Island.html,tag,3,/antarctica,Pourquoi Pas Island — Exploring Antarctica — A Tog's Trek,antarctica,,,,,,
antarctica/tag/South+of+the+Circle.html,tag,3,/antarctica,South of the Circle — Exploring Antarctica — A Tog's Trek,antarctica,,,,,,
antarctica/tag/Southern+Ocean.html,tag,3,/antarctica,Southern Ocean — Exploring Antarctica — A Tog's Trek,antarctica,,,,,,
antarctica/tag/Stonnington+Island.html,tag,3,/antarctica,Stonnington Island — Exploring Antarctica — A Tog's Trek,antarctica,,,,,,
antarctica/tag/The+Gullet.html,tag,3,/antarctica,The Gullet — Exploring Antarctica — A Tog's Trek,antarctica,,,,,,
antarctica/tag/Yalour+Islands.html,tag,3,/antarctica,Yalour Islands — Exploring Antarctica — A Tog's Trek,antarctica,,,,,,
antarctica/the-gullet.html,continent_place_candidate,2,/antarctica,The Gullet — A Tog's Trek,antarctica,,the-gullet,,,,
antarctica/yalour-islands.html,continent_place_candidate,2,/antarctica,Yalour Islands — A Tog's Trek,antarctica,,yalour-islands,,,,
antarctica.html,root_misc,1,/antarctica,Exploring Antarctica — A Tog's Trek,antarctica,,,,,,
antarcticafb9c.html,root_misc,1,/antarctica,Exploring Antarctica — A Tog's Trek,,,,,,,
argentina.html,root_misc,1,/argentina,Argentina | Explore Argentine Wonders — A Tog's Trek,,,,,,,
asia/category/Hong+Kong.html,category,3,/asia,Hong Kong — Discovering Asia — A Tog's Trek,asia,,,,,,
asia/category/Israel.html,category,3,/asia,Israel — Discovering Asia — A Tog's Trek,asia,,,,,,
asia/category/Jordan.html,category,3,/asia,Jordan — Discovering Asia — A Tog's Trek,asia,,,,,,
asia/category/Malaysia.html,category,3,/asia,Malaysia — Discovering Asia — A Tog's Trek,asia,,,,,,
asia/category/Nepal.html,category,3,/asia,Nepal — Discovering Asia — A Tog's Trek,asia,,,,,,
asia/category/Palestine.html,category,3,/asia,Palestine — Discovering Asia — A Tog's Trek,asia,,,,,,
asia/category/Singapore.html,category,3,/asia,Singapore — Discovering Asia — A Tog's Trek,asia,,,,,,
asia/category/Thailand.html,category,3,/asia,Thailand — Discovering Asia — A Tog's Trek,asia,,,,,,
asia/category/Turkey.html,category,3,/asia,Turkey — Discovering Asia — A Tog's Trek,asia,,,,,,
asia/category/Turkmenistan.html,category,3,/asia,Turkmenistan — Discovering Asia — A Tog's Trek,asia,,,,,,
asia/hong-kong/kowloon.html,continent_place_candidate,3,/asia,Kowloon — A Tog's Trek,asia,hong-kong,kowloon,,,,
asia/israel/qasr-al-yahud.html,continent_place_candidate,3,/asia,Qasr al-Yahud — A Tog's Trek,asia,israel,qasr-al-yahud,,,,
asia/isreal/jerusalem.html,continent_place_candidate,3,/asia,Jerusalem — A Tog's Trek,asia,isreal,jerusalem,,,,
asia/jordan/al-maghtas.html,continent_place_candidate,3,/asia,Al-Maghtas — A Tog's Trek,asia,jordan,al-maghtas,,,,
asia/jordan/amman.html,continent_place_candidate,3,/asia,Amman — A Tog's Trek,asia,jordan,amman,,,,
asia/jordan/dead-sea.html,continent_place_candidate,3,/asia,Dead Sea — A Tog's Trek,asia,jordan,dead-sea,,,,
asia/jordan/jerash.html,continent_place_candidate,3,/asia,Jerash — A Tog's Trek,asia,jordan,jerash,,,,
asia/jordan/little-petra.html,continent_place_candidate,3,/asia,Siq al-Barid (Little Petra) — A Tog's Trek,asia,jordan,little-petra,,,,
